,Open,High,Low,Volume,Dividends,Stock Splits,Adjusted Close,compound,negative,neutral,positive
2012-10-09,9.842857360839844,9.925713539123535,9.342857360839844,82145000,0.0,1.0,9.361429214477539,-0.9998,0.143,0.773,0.084
2012-10-10,9.40428638458252,9.704285621643066,9.304286003112793,38742900,0.0,1.0,9.35714340209961,-0.9998,0.135,0.783,0.083
2012-10-11,9.557143211364746,9.585714340209961,9.318571090698242,22013600,0.0,1.0,9.425713539123535,-0.9999,0.143,0.782,0.074
2012-10-12,9.399999618530273,9.514286041259766,9.10857105255127,20710200,0.0,1.0,9.1899995803833,-0.9998,0.139,0.787,0.075
2012-10-15,9.307143211364746,9.311429023742676,9.057143211364746,20745200,0.0,1.0,9.251428604125977,-0.9997,0.136,0.774,0.089
2012-10-16,9.271429061889648,9.458571434020996,9.10857105255127,29302000,0.0,1.0,9.435713768005371,-0.9999,0.149,0.774,0.077
2012-10-17,9.430000305175781,9.831428527832031,9.377142906188965,26464200,0.0,1.0,9.78857135772705,-0.9995,0.11,0.82,0.071
2012-10-18,9.784285545349121,9.977143287658691,9.564286231994629,26797400,0.0,1.0,9.622857093811035,-0.9997,0.12,0.804,0.076
2012-10-19,9.598570823669434,9.64285659790039,9.180000305175781,22881600,0.0,1.0,9.282856941223145,-0.9997,0.122,0.803,0.075
2012-10-22,9.194286346435547,9.96142864227295,9.184286117553711,45678500,0.0,1.0,9.697142601013184,-0.9998,0.139,0.781,0.08
2012-10-23,9.614286422729492,9.878570556640625,9.437143325805664,63498400,0.0,1.0,9.74571418762207,-0.9992,0.122,0.784,0.094
2012-10-24,8.265713691711426,8.714285850524902,8.199999809265137,100060100,0.0,1.0,8.588570594787598,-0.9995,0.126,0.787,0.087
2012-10-25,8.578571319580078,8.8100004196167,8.557143211364746,33046300,0.0,1.0,8.787142753601074,-0.9995,0.129,0.783,0.088
2012-10-26,8.79285717010498,10.034285545349121,8.64142894744873,103433400,0.0,1.0,9.9399995803833,-0.9997,0.14,0.767,0.093
2012-10-31,9.487142562866211,12.135713577270508,9.364286422729492,107308600,0.0,1.0,11.319999694824219,-0.9999,0.15,0.78,0.07
2012-11-01,11.121429443359375,11.384285926818848,10.664285659790039,62669600,0.0,1.0,11.098570823669434,-0.9999,0.148,0.777,0.075
2012-11-02,11.035714149475098,11.407142639160156,10.852856636047363,29650600,0.0,1.0,10.985713958740234,-0.9997,0.13,0.787,0.083
2012-11-05,10.652856826782227,11.277142524719238,10.64285659790039,29016400,0.0,1.0,11.177143096923828,-0.9997,0.133,0.779,0.089
2012-11-06,11.008570671081543,11.421428680419922,10.815713882446289,39102700,0.0,1.0,10.90999984741211,-0.9999,0.155,0.776,0.069
2012-11-07,10.918571472167969,11.321429252624512,10.918571472167969,31099600,0.0,1.0,11.097143173217773,-0.9998,0.144,0.782,0.074
